Symbol,Company Name,Market Cap,IPO Date,PT Diff. (%),OpInc Growth 5Y,Rev. Growth 5Y,Rev Gr. Next Y,Rev Gr. Next 5Y,OpInc Growth 3Y,Rev. Growth 3Y,Analyst Count,FCF Growth 3Y,FCF Growth 5Y,Debt Growth (5Y),Debt Growth (3Y),Oper. Margin,EBITDA Margin,ROA,ROIC,ROA (5Y),ROIC (5Y),Current Ratio,Quick Ratio,Debt / EBITDA,Z-Score,Tax / Revenue,R&D / Rev,Debt Growth (YoY),FCF Growth,Rev. Growth,Sector,Industry
CPSH,CPS Technologies Corporation,21934260,1987-07-15,,,-0.15%,,,,2.46%,,,,-32.93%,-48.88%,-13.30%,-10.54%,-9.70%,-18.78%,7.94%,9.12%,3.99,2.64,,3.02,-2.71%,,-69.32%,,-18.51%,Technology,Electronic Components
FICO,Fair Isaac Corporation,57637566275,1987-07-22,-17.58%,23.68%,8.16%,12.35%,12.69%,13.22%,9.27%,12,13.43%,20.78%,22.02%,19.34%,42.71%,45.06%,30.50%,46.20%,24.80%,36.82%,1.62,1.52,2.88,18.68,7.52%,10.01%,18.32%,30.72%,13.48%,Technology,Software - Application
CNMD,CONMED Corporation,2259978244,1987-07-23,11.87%,22.36%,6.67%,7.45%,8.10%,27.30%,9.19%,6,25.87%,22.46%,3.45%,9.55%,15.37%,16.65%,5.70%,8.70%,0.94%,6.48%,2.27,0.96,4.39,2.33,2.20%,4.29%,-7.11%,342.98%,10.23%,Healthcare,Medical Devices
CCL,Carnival Corporation & plc,31890250753,1987-07-24,-6.93%,0.33%,3.61%,4.40%,6.03%,,234.17%,18,,1.34%,23.03%,-2.48%,13.89%,24.68%,3.20%,8.62%,-8.54%,-5.95%,0.30,0.18,5.01,1.02,0.09%,,-7.22%,,22.18%,Consumer Discretionary,Travel Services
SAN,"Banco Santander, S.A.",70206237942,1987-07-29,,-17.86%,13.95%,1.03%,,-13.90%,27.31%,1,-58.70%,61.72%,11.20%,21.22%,12.80%,10.04%,0.67%,1.70%,0.32%,3.05%,2.30,,44.41,0.28,5.05%,,48.61%,2.70%,76.37%,Financials,Banks - Diversified
XRAY,DENTSPLY SIRONA Inc.,3904039200,1987-08-12,41.02%,,-0.39%,-1.49%,4.07%,,-2.47%,8,-13.31%,-1.62%,8.62%,1.56%,-7.62%,1.62%,-5.90%,-6.17%,-1.32%,-1.42%,1.25,0.63,36.83,1.00,1.38%,4.26%,9.28%,70.64%,-0.91%,Healthcare,Medical Instruments & Supplies
PII,Polaris Inc.,3840900561,1987-08-21,22.78%,-5.60%,2.93%,1.03%,1.44%,-31.12%,3.03%,12,10.68%,1.04%,2.85%,8.84%,4.77%,8.61%,3.60%,8.52%,7.62%,15.65%,1.21,0.23,3.29,2.28,0.59%,4.56%,-1.34%,-8.14%,-14.81%,Consumer Discretionary,Recreational Vehicles
HRTX,"Heron Therapeutics, Inc.",176430200,1987-08-26,376.47%,,-0.29%,21.29%,18.78%,,16.87%,3,,,58.43%,2.71%,-18.82%,-18.03%,-12.70%,-18.75%,-57.30%,-81.49%,2.28,1.61,,-10.98,,17.75%,-0.97%,,12.13%,Healthcare,Biotechnology
SCHW,The Charles Schwab Corporation,146999916000,1987-09-22,-8.49%,5.04%,11.68%,11.38%,9.92%,-2.80%,1.37%,15,54.55%,22.22%,49.59%,35.16%,35.12%,42.86%,1.00%,5.00%,0.96%,7.89%,,,6.93,,7.65%,,-13.28%,,-5.73%,Financials,Capital Markets
LWAY,"Lifeway Foods, Inc.",362263425,1987-09-29,,,14.24%,11.11%,,45.73%,16.98%,1,45.16%,23.87%,-55.93%,-78.19%,10.38%,12.28%,15.40%,18.37%,5.50%,6.35%,2.68,2.04,0.00,15.19,3.15%,,-98.66%,60.34%,18.27%,Consumer Staples,Packaged Foods
AIN,Albany International Corp.,2596335000,1987-09-30,2.96%,-3.99%,4.04%,4.54%,,-4.57%,11.42%,4,-10.36%,-1.65%,-3.10%,1.15%,11.74%,18.88%,5.60%,8.40%,7.16%,9.70%,3.68,1.83,1.51,4.31,2.45%,3.61%,-26.17%,172.44%,15.93%,Consumer Discretionary,Textile Manufacturing
COHR,Coherent Corp.,15170991564,1987-10-02,-2.52%,21.92%,29.22%,11.49%,,-17.98%,16.39%,14,-28.14%,77.50%,10.92%,40.14%,4.83%,16.08%,-1.30%,,0.06%,2.79%,2.67,1.39,5.23,2.06,0.53%,9.93%,-5.84%,-68.70%,2.75%,Technology,Scientific & Technical Instruments
TRMK,Trustmark Corporation,2396782020,1987-10-20,-11.53%,-37.36%,-2.59%,4.04%,,-56.48%,-8.94%,5,-45.15%,-1.19%,14.11%,28.99%,3.25%,43.62%,1.10%,0.59%,0.86%,5.70%,,,4.63,,-2.15%,,-22.84%,-66.51%,-25.25%,Financials,Banks - Regional
CLH,"Clean Harbors, Inc.",14010532054,1987-11-24,-0.76%,25.50%,11.27%,6.01%,6.83%,27.62%,18.52%,9,-2.70%,5.99%,11.96%,21.54%,11.74%,18.54%,6.00%,9.23%,4.62%,7.62%,2.10,1.69,2.83,3.50,2.33%,,21.86%,-11.66%,8.37%,Industrials,Waste Management
AIR,AAR Corp.,2478349454,1988-01-01,16.51%,7.90%,2.71%,7.27%,,14.29%,12.52%,5,-36.37%,-19.26%,30.79%,78.74%,5.96%,7.98%,2.70%,4.56%,2.98%,4.79%,3.06,0.80,5.47,2.90,1.06%,,197.47%,,16.09%,Industrials,Aerospace & Defense
IPAR,"Interparfums, Inc.",4424985807,1988-01-15,14.41%,20.13%,14.77%,4.45%,,11.33%,18.51%,4,20.65%,5.44%,29.52%,7.08%,18.15%,17.66%,10.80%,18.39%,8.34%,14.44%,2.82,1.52,0.86,8.03,4.34%,,4.45%,80.48%,9.22%,Consumer Staples,Household & Personal Products
AB,AllianceBernstein Holding L.P.,4115193850,1988-04-14,20.08%,12.10%,12.10%,7.01%,,4.19%,4.19%,5,-0.86%,7.34%,,,100.00%,100.00%,19.10%,18.93%,17.38%,16.51%,,,,,8.47%,,,10.40%,53.23%,Financials,Asset Management
MAN,ManpowerGroup Inc.,3030213984,1988-05-03,19.00%,-21.64%,-3.00%,1.14%,,-29.13%,-3.93%,6,-40.87%,-28.83%,-0.31%,-0.26%,1.10%,1.59%,0.40%,1.40%,2.90%,7.01%,1.15,1.11,4.61,3.23,0.64%,,4.35%,-61.74%,-5.28%,Industrials,Staffing & Employment Services
USM,United States Cellular Corporation,5473040127,1988-05-04,25.45%,-30.48%,-1.13%,-1.86%,,-51.83%,-2.71%,3,21.28%,23.82%,8.37%,2.08%,0.50%,22.27%,-0.30%,,1.28%,1.24%,1.57,1.31,4.56,1.41,0.66%,,-0.93%,40.87%,-3.94%,Communication Services,Telecom Services
WM,"Waste Management, Inc.",91840568120,1988-06-02,-1.24%,6.87%,6.72%,10.90%,7.07%,10.64%,7.28%,21,-6.54%,3.41%,4.51%,8.47%,18.37%,28.49%,7.90%,12.29%,6.56%,10.83%,0.89,0.78,2.73,3.66,3.68%,,7.93%,25.85%,6.17%,Industrials,Waste Management
DELL,Dell Technologies Inc.,90610391685,1988-06-22,17.57%,38.07%,0.05%,7.56%,4.78%,10.80%,1.12%,16,-31.82%,-8.08%,-13.93%,-17.45%,5.70%,9.26%,4.80%,23.95%,3.60%,12.84%,0.72,0.40,2.88,1.69,0.05%,3.21%,-9.64%,-36.26%,-1.90%,Technology,Computer Hardware
SSP,The E.W. Scripps Company,168406857,1988-06-29,187.50%,-36.58%,13.72%,-11.70%,5.02%,-63.83%,2.10%,2,-3.43%,47.52%,6.64%,-5.12%,0.84%,5.61%,-6.00%,,-1.98%,-0.04%,1.34,1.25,21.10,0.35,0.97%,,-5.93%,81.61%,1.66%,Communication Services,Broadcasting
MTH,Meritage Homes Corporation,6921338378,1988-07-20,0.71%,28.37%,12.61%,8.22%,,5.44%,8.35%,8,,,0.07%,4.21%,15.49%,16.59%,12.10%,12.27%,13.10%,14.13%,,,1.23,,3.54%,,30.72%,,-0.66%,Consumer Discretionary,Residential Construction
ARCH,"Arch Resources, Inc.",3190504509,1988-08-11,0.98%,-10.65%,2.27%,0.50%,,52.34%,15.00%,5,,-7.25%,-16.07%,-38.85%,7.23%,13.87%,7.40%,11.12%,17.50%,26.63%,2.01,1.29,0.34,4.78,0.74%,,-1.97%,-52.77%,-17.03%,Materials,Coking Coal
LNN,Lindsay Corporation,1428879882,1988-10-12,-0.58%,65.80%,6.45%,4.70%,,12.29%,2.26%,2,56.40%,,2.42%,-0.82%,12.62%,17.05%,8.70%,10.50%,8.44%,11.15%,3.92,2.44,1.26,6.07,2.11%,2.82%,-1.74%,-33.83%,-9.94%,Industrials,Farm & Heavy Construction Machinery
MGPI,"MGP Ingredients, Inc.",1009632267,1988-10-20,66.38%,28.49%,14.48%,-14.54%,,19.96%,9.57%,5,-7.20%,14.48%,46.35%,5.94%,22.60%,23.31%,7.50%,10.44%,10.36%,12.15%,6.46,1.84,1.75,2.97,4.57%,,-8.39%,498.81%,-9.22%,Consumer Staples,Beverages - Wineries & Distilleries
VOD,Vodafone Group Public Limited Company,23068779700,1988-10-25,,,-7.21%,1.74%,4.86%,86.43%,-10.00%,,19.95%,62.78%,7.33%,4.99%,9.82%,,1.80%,2.70%,,1.54%,1.08,1.32,,-0.66,0.70%,,-26.24%,-3.01%,1.01%,Communication Services,Telecom Services
TECH,Bio-Techne Corporation,11856521040,1989-02-09,8.52%,4.34%,9.79%,9.38%,11.34%,-8.79%,5.97%,9,-6.02%,10.17%,-6.83%,1.88%,16.29%,25.89%,5.50%,6.43%,9.54%,9.84%,4.56,2.89,1.32,13.48,2.18%,8.24%,-27.41%,13.75%,2.41%,Healthcare,Biotechnology
CRUS,"Cirrus Logic, Inc.",5607322248,1989-06-09,27.33%,22.88%,9.85%,3.66%,,14.02%,7.79%,6,24.77%,18.79%,0.77%,3.62%,20.89%,25.12%,14.50%,14.65%,11.90%,13.17%,5.34,3.50,0.32,9.84,5.27%,22.78%,-2.11%,330.47%,8.24%,Technology,Semiconductors
TG,Tredegar Corporation,244993930,1989-06-30,,,-2.51%,,,,-3.82%,,,,12.46%,3.98%,-6.65%,-2.94%,-6.20%,-14.93%,-2.38%,-2.13%,0.79,0.37,,2.23,-4.79%,0.19%,-4.85%,,-1.29%,Industrials,Metal Fabrication
CGNX,Cognex Corporation,6879466650,1989-07-20,17.56%,-10.65%,3.31%,11.83%,13.41%,-32.67%,-4.64%,11,-34.47%,-17.00%,36.70%,42.25%,11.00%,16.08%,4.40%,4.77%,10.72%,13.14%,3.94,2.62,0.54,9.57,2.38%,16.11%,12.78%,-36.23%,0.14%,Technology,Scientific & Technical Instruments
NEOG,Neogen Corporation,3064109720,1989-08-23,23.41%,-9.25%,17.00%,4.87%,,-18.44%,23.23%,1,,,,,4.58%,18.01%,-0.50%,,3.80%,4.50%,4.41,2.35,5.43,1.86,-0.88%,2.30%,0.33%,,-0.75%,Healthcare,Diagnostics & Research
UVSP,Univest Financial Corporation,920369501,1989-11-03,-11.84%,1.96%,5.04%,3.43%,,-9.49%,-0.17%,2,4.01%,-0.58%,5.85%,19.57%,31.89%,33.76%,0.90%,5.67%,1.10%,6.36%,,,4.26,,6.48%,,-19.85%,-9.56%,-1.79%,Financials,Banks - Regional
LSCC,Lattice Semiconductor Corporation,7829854250,1989-11-08,4.41%,16.51%,7.07%,3.51%,5.92%,0.56%,5.38%,12,3.77%,5.30%,-43.34%,-61.14%,15.96%,24.10%,17.20%,18.93%,16.86%,20.58%,3.98,2.34,0.08,33.00,-8.55%,28.53%,-11.62%,-45.29%,-24.23%,Technology,Semiconductors
BLFS,"BioLife Solutions, Inc.",1278895104,1989-11-22,0.11%,,38.13%,-13.46%,14.49%,,8.50%,6,,3.93%,91.02%,11.64%,-22.74%,-28.46%,-11.70%,-7.69%,-9.48%,-13.01%,2.78,1.63,,12.50,0.05%,10.02%,-11.16%,,-8.47%,Healthcare,Medical Instruments & Supplies
DENN,Denny's Corporation,326453076,1989-11-22,17.38%,-24.59%,-5.05%,4.07%,,-1.50%,6.92%,5,-29.27%,-6.28%,1.04%,7.00%,8.52%,12.34%,3.80%,8.27%,12.98%,20.37%,0.39,0.24,7.24,1.50,1.30%,,3.57%,-62.24%,-3.49%,Consumer Discretionary,Restaurants
PTC,PTC Inc.,23981352270,1989-12-07,3.06%,56.30%,12.85%,10.71%,12.02%,15.59%,8.35%,11,28.82%,27.22%,23.60%,5.41%,25.58%,31.76%,6.00%,9.17%,6.52%,9.21%,0.78,0.68,2.64,5.43,4.03%,18.84%,2.19%,25.31%,9.60%,Technology,Software - Application
CZR,"Caesars Entertainment, Inc.",8127360000,1989-12-13,36.71%,37.72%,34.01%,3.73%,4.29%,19.01%,9.59%,13,,,43.53%,-1.94%,19.26%,30.18%,-1.10%,,-1.96%,4.71%,0.84,0.61,7.47,,0.75%,,1.52%,,-2.20%,Consumer Discretionary,Resorts & Casinos
GIII,"G-III Apparel Group, Ltd.",1286693540,1989-12-14,2.70%,4.24%,-0.20%,1.69%,,9.30%,9.42%,7,30.55%,86.44%,-6.82%,-3.67%,9.45%,12.03%,7.00%,9.85%,3.22%,5.30%,2.92,1.63,1.70,3.23,2.29%,,-11.33%,123.18%,-3.52%,Consumer Discretionary,Apparel Manufacturing
CTRA,Coterra Energy Inc.,19685174850,1990-02-07,20.92%,9.11%,19.51%,36.36%,,49.63%,49.90%,17,34.26%,12.21%,11.11%,29.72%,28.98%,62.13%,6.00%,8.39%,12.30%,14.70%,1.61,1.49,0.59,2.66,6.47%,0.44%,-4.66%,-50.83%,-14.23%,Energy,Oil & Gas Exploration & Production
CSCO,"Cisco Systems, Inc.",236137840400,1990-02-16,1.23%,-6.01%,0.38%,4.55%,5.19%,-9.18%,1.42%,19,-6.94%,-5.03%,11.58%,49.87%,19.37%,26.93%,8.00%,12.40%,11.60%,20.05%,0.88,0.65,2.24,2.51,1.26%,15.77%,318.13%,-34.72%,-8.72%,Technology,Communication Equipment
TTI,"TETRA Technologies, Inc.",510104700,1990-04-03,84.00%,21.13%,-0.15%,13.25%,15.92%,,20.78%,4,-28.67%,-7.64%,-25.02%,2.78%,7.04%,11.35%,0.30%,1.60%,3.58%,-6.49%,2.33,1.33,3.06,1.97,1.71%,0.86%,9.67%,-37.94%,-0.46%,Energy,Oil & Gas Equipment & Services
GVA,Granite Construction Incorporated,4372352815,1990-04-20,-32.58%,,2.99%,6.86%,,188.36%,5.16%,2,26.26%,,11.98%,28.69%,4.22%,7.64%,3.90%,6.56%,-0.50%,-1.03%,1.56,1.16,2.67,3.24,1.13%,,80.92%,,17.89%,Industrials,Engineering & Construction
HOLX,"Hologic, Inc.",18465624000,1990-06-21,13.09%,66.33%,3.76%,4.32%,5.01%,-33.47%,-11.03%,11,-21.64%,14.31%,-3.61%,-6.60%,19.46%,30.20%,8.00%,9.28%,10.96%,13.68%,3.99,3.06,2.10,4.43,2.17%,6.91%,-9.89%,21.96%,-1.26%,Healthcare,Medical Instruments & Supplies
GTIM,Good Times Restaurants Inc.,29032560,1990-06-21,,18.29%,5.29%,,,-46.98%,5.79%,,-22.46%,,33.12%,-5.68%,0.78%,3.27%,1.30%,2.41%,1.02%,5.74%,0.47,0.34,10.13,1.50,-0.34%,,-5.56%,554.30%,1.32%,Consumer Discretionary,Restaurants
BHE,"Benchmark Electronics, Inc.",1749989294,1990-06-28,-12.70%,16.31%,2.17%,4.51%,,34.92%,7.87%,3,69.30%,17.20%,12.30%,20.35%,4.20%,5.86%,2.80%,5.73%,2.00%,3.58%,2.36,1.09,2.49,3.29,0.74%,,-28.14%,,-7.17%,Technology,Electronic Components
PUK,Prudential plc,21638524800,1990-07-03,,-5.24%,-30.48%,11.71%,,-2.33%,-47.63%,,-23.27%,-11.54%,-13.01%,-32.64%,25.22%,20.85%,1.00%,9.82%,0.02%,7.57%,,,2.16,,3.55%,,-30.25%,-24.33%,52.51%,Financials,Insurance - Life
VERU,Veru Inc.,105396480,1990-07-19,465.21%,,-13.00%,-7.30%,46.81%,,-37.37%,4,,,-14.78%,24.64%,-281.09%,-272.36%,-60.10%,-94.91%,-46.80%,-100.92%,3.62,2.90,,-5.09,5.89%,114.85%,-15.39%,,-6.20%,Healthcare,Biotechnology
TRMB,Trimble Inc.,17687985440,1990-07-20,2.55%,6.95%,4.09%,-2.61%,,2.25%,6.47%,6,-3.37%,5.78%,10.13%,24.40%,11.81%,20.23%,3.40%,5.09%,5.98%,8.03%,1.00,0.51,4.15,3.04,1.20%,17.49%,96.20%,59.51%,3.33%,Technology,Scientific & Technical Instruments
MMSI,"Merit Medical Systems, Inc.",6036580252,1990-08-09,-0.19%,36.27%,6.45%,9.09%,,40.54%,7.94%,10,17.08%,224.74%,9.36%,32.35%,11.52%,21.57%,5.10%,5.77%,2.40%,3.42%,5.36,3.62,2.86,5.07,2.13%,6.33%,130.58%,145.66%,8.12%,Healthcare,Medical Instruments & Supplies
EXPO,"Exponent, Inc.",4986596835,1990-08-17,21.57%,4.10%,6.41%,5.48%,,2.34%,6.10%,1,13.51%,15.25%,26.84%,70.50%,20.32%,28.59%,15.60%,16.40%,16.30%,22.07%,3.00,2.82,0.52,11.94,7.31%,,192.30%,93.70%,0.63%,Industrials,Engineering & Construction
MTRX,Matrix Service Company,365377974,1990-09-26,35.75%,,-13.48%,13.85%,,,1.86%,1,,10.76%,-8.64%,-3.50%,-5.12%,-2.81%,-7.00%,-19.85%,-9.04%,-19.58%,1.06,1.07,,2.08,-0.01%,,-33.00%,827.53%,-11.24%,Industrials,Engineering & Construction
CYH,"Community Health Systems, Inc.",480760080,1991-03-07,35.64%,0.38%,-1.27%,1.48%,,-17.55%,0.80%,6,,,-3.16%,-1.50%,6.43%,8.18%,-2.80%,,-0.02%,2.84%,1.46,0.98,11.81,0.73,0.76%,,-3.15%,,0.81%,Healthcare,Medical Care Facilities
DORM,"Dorman Products, Inc.",4276264688,1991-03-12,-13.20%,17.13%,14.24%,3.48%,,18.03%,16.42%,2,39.51%,34.72%,82.15%,27.78%,14.39%,17.39%,8.10%,11.59%,7.72%,9.83%,2.35,1.10,1.84,4.55,2.94%,,-10.12%,54.69%,1.70%,Consumer Discretionary,Auto Parts
AZO,"AutoZone, Inc.",54041187627,1991-04-01,1.39%,11.32%,9.28%,6.02%,5.20%,8.77%,8.12%,18,-12.94%,3.34%,18.67%,14.60%,20.49%,23.46%,15.80%,40.29%,15.38%,38.18%,0.84,0.10,2.82,2.82,3.65%,,12.99%,-9.92%,5.92%,Consumer Discretionary,Specialty Retail
REGN,"Regeneron Pharmaceuticals, Inc.",81016174800,1991-04-02,49.05%,12.02%,22.32%,4.00%,7.63%,-18.99%,0.74%,23,-13.69%,11.64%,30.56%,0.07%,28.69%,39.73%,13.20%,11.62%,20.52%,21.28%,5.28,4.34,0.49,8.46,2.27%,35.37%,0.05%,-24.87%,5.72%,Healthcare,Biotechnology
FCFS,"FirstCash Holdings, Inc.",4863243308,1991-04-25,24.63%,11.33%,12.69%,4.81%,,28.87%,28.30%,4,55.10%,15.61%,17.92%,26.01%,12.82%,29.03%,5.70%,8.00%,5.62%,6.99%,4.31,2.67,2.11,3.01,2.38%,,8.20%,-17.58%,10.10%,Financials,Credit Services
HAE,Haemonetics Corporation,4409658420,1991-05-09,22.54%,13.56%,6.63%,4.40%,10.72%,54.77%,13.38%,8,-1.89%,-5.17%,26.99%,16.20%,12.30%,20.34%,5.20%,6.20%,5.14%,7.01%,3.49,1.87,4.42,2.89,2.57%,4.42%,60.71%,-72.93%,9.84%,Healthcare,Medical Instruments & Supplies
IONS,"Ionis Pharmaceuticals, Inc.",5668502300,1991-05-17,73.52%,,-0.44%,16.31%,18.00%,,6.72%,18,,,16.49%,3.45%,-46.12%,-30.32%,-12.50%,-17.56%,-6.06%,-7.71%,8.91,8.21,,1.35,0.38%,113.64%,-0.39%,,30.57%,Healthcare,Biotechnology
LCUT,"Lifetime Brands, Inc.",130502963,1991-06-05,95.25%,12.78%,-1.84%,2.57%,3.44%,-25.57%,-7.81%,2,76.29%,,-10.39%,-8.02%,4.08%,4.03%,-3.30%,,-1.06%,1.94%,2.36,0.87,10.23,1.54,0.74%,,-11.62%,-40.11%,-2.85%,Consumer Discretionary,"Furnishings, Fixtures & Appliances"
DBI,Designer Brands Inc.,274723743,1991-06-10,29.74%,-23.51%,-2.09%,3.19%,,,3.21%,3,,,-0.78%,5.60%,0.64%,3.10%,-0.20%,,-0.28%,-1.60%,1.29,0.14,13.44,1.77,-0.24%,,6.76%,,-3.19%,Consumer Discretionary,Footwear & Accessories
IDXX,"IDEXX Laboratories, Inc.",34717475106,1991-06-21,29.29%,15.01%,10.34%,6.98%,9.54%,6.60%,7.04%,7,6.19%,21.64%,-0.31%,1.21%,28.92%,32.56%,25.90%,33.95%,27.58%,37.74%,1.42,0.81,0.78,16.57,5.90%,5.56%,-12.76%,18.34%,7.16%,Healthcare,Diagnostics & Research
IEX,IDEX Corporation,17493596766,1991-06-21,4.10%,5.32%,5.00%,7.80%,9.90%,7.24%,6.23%,8,7.46%,5.49%,19.57%,20.37%,23.70%,26.07%,8.00%,10.01%,10.44%,13.14%,2.97,1.96,2.49,5.14,4.34%,,57.07%,5.15%,-3.06%,Industrials,Specialty Industrial Machinery
ATGE,Adtalem Global Education Inc.,3428533660,1991-06-21,-7.01%,6.99%,9.63%,5.97%,,60.74%,18.99%,3,25.84%,13.85%,7.90%,-22.71%,15.86%,22.57%,6.30%,9.62%,3.22%,5.49%,0.94,0.80,2.29,3.61,2.18%,,-5.45%,13.99%,11.45%,Consumer Staples,Education & Training Services
RGS,Regis Corporation,55599264,1991-06-21,,,-28.24%,,,,-19.64%,,,,-10.34%,-19.34%,7.97%,59.95%,16.50%,7.06%,-3.26%,-11.78%,0.35,0.15,1.38,0.98,0.40%,,-37.01%,,-12.97%,Consumer Discretionary,Personal Services
AES,The AES Corporation,9345312272,1991-06-25,68.45%,-16.40%,3.43%,5.27%,,-16.80%,3.97%,10,,,8.82%,14.64%,6.76%,31.38%,2.20%,2.20%,-0.22%,2.75%,0.85,0.36,7.82,0.50,1.09%,,10.07%,,-3.73%,Utilities,Utilities - Diversified
LDWY,"Lendway, Inc.",7803936,1991-06-25,,,5.77%,,,,16.22%,,,,196.58%,611.42%,-11.13%,1.82%,-4.00%,-4.09%,-1.76%,-59.71%,2.27,0.45,127.38,0.37,-4.01%,,,,,Communication Services,Advertising Agencies
CRVL,CorVel Corporation,6247809022,1991-06-28,,9.93%,7.31%,,,11.23%,12.28%,,2.25%,7.76%,-23.47%,-15.84%,12.02%,15.32%,17.10%,26.67%,14.28%,23.98%,1.71,1.64,0.18,20.83,2.38%,,-8.49%,1.24%,12.66%,Financials,Insurance Brokers
KALU,Kaiser Aluminum Corporation,1315676640,1991-07-11,1.29%,-10.62%,14.19%,6.84%,,9.61%,12.60%,3,7.64%,-15.51%,21.87%,-0.30%,2.93%,7.27%,2.10%,3.96%,1.20%,3.76%,2.60,1.09,4.92,2.24,0.43%,,-0.38%,,-5.13%,Materials,Aluminum
AMBC,"Ambac Financial Group, Inc.",602527370,1991-07-11,32.30%,-20.39%,-2.79%,-67.82%,,-34.90%,7.79%,2,,,-12.91%,-17.28%,14.11%,24.69%,-0.30%,,,-6.00%,,,37.37,,2.52%,,14.29%,-91.64%,-3.87%,Financials,Insurance - Specialty
DIN,"Dine Brands Global, Inc.",534694755,1991-07-12,14.02%,-2.31%,-1.92%,0.65%,,4.32%,-1.92%,8,-16.52%,-7.42%,-3.11%,-3.75%,22.20%,26.93%,5.30%,11.35%,2.92%,7.48%,0.86,0.93,7.24,1.11,1.86%,,-0.04%,62.22%,-2.27%,Consumer Discretionary,Restaurants
ALKS,Alkermes plc,4701995180,1991-07-16,22.05%,,6.98%,-5.78%,-1.97%,,10.05%,12,53.66%,94.33%,4.55%,-4.47%,29.00%,23.33%,15.50%,30.59%,-2.18%,4.37%,3.45,2.81,1.04,4.33,-3.09%,11.06%,-4.93%,62.90%,-5.37%,Healthcare,Drug Manufacturers - Specialty & Generic
VRTX,Vertex Pharmaceuticals Incorporated,120949782495,1991-07-24,11.02%,,24.03%,8.52%,9.98%,,14.23%,28,,,23.01%,24.77%,-3.01%,4.87%,-2.20%,,19.62%,20.52%,2.47,2.08,3.29,12.36,6.96%,32.53%,128.67%,,10.06%,Healthcare,Biotechnology
MNRO,"Monro, Inc.",836486742,1991-07-29,10.24%,-14.71%,-0.26%,3.09%,,-16.19%,-1.52%,1,-9.48%,-3.68%,-3.50%,-11.49%,4.76%,10.61%,1.60%,3.43%,2.58%,4.22%,0.53,0.07,4.29,1.70,0.91%,,-5.28%,-42.05%,-5.62%,Consumer Discretionary,Auto Parts
PRGS,Progress Software Corporation,2935131050,1991-07-30,-1.08%,16.96%,12.65%,22.59%,3.00%,3.05%,11.68%,6,8.51%,13.06%,22.35%,11.03%,17.48%,19.99%,5.20%,8.67%,5.92%,9.09%,1.23,1.24,5.68,2.33,1.90%,19.45%,4.17%,26.09%,6.05%,Technology,Software - Infrastructure
MTG,MGIC Investment Corporation,6652098075,1991-08-06,-3.28%,2.74%,0.04%,3.10%,,5.74%,-0.10%,6,-0.11%,3.60%,-5.00%,-19.71%,83.97%,85.70%,11.60%,13.32%,10.16%,13.04%,,,0.63,,16.89%,,0.23%,5.66%,2.31%,Financials,Insurance - Specialty
ZBRA,Zebra Technologies Corporation,20928585000,1991-08-15,-5.11%,-2.85%,1.00%,7.98%,6.45%,-15.48%,-5.22%,10,-14.08%,2.31%,7.50%,28.02%,12.69%,15.85%,5.10%,9.15%,9.36%,14.80%,1.37,0.84,3.16,4.73,1.01%,11.62%,-3.80%,1436.00%,-8.31%,Technology,Communication Equipment
EZPW,"EZCORP, Inc.",697157709,1991-08-27,25.00%,19.07%,6.52%,6.36%,6.12%,53.41%,16.77%,2,50.49%,3.77%,18.90%,5.87%,9.69%,19.00%,5.50%,5.90%,1.44%,2.50%,2.71,1.85,2.57,2.52,2.80%,,-7.13%,26.79%,10.73%,Financials,Credit Services
MGIC,Magic Software Enterprises Ltd.,617669194,1991-08-28,19.24%,11.51%,11.77%,3.39%,,6.28%,5.82%,1,7.84%,10.44%,23.89%,11.84%,10.74%,14.41%,6.60%,11.81%,6.50%,11.39%,1.76,1.76,1.20,,2.01%,2.12%,-18.19%,-36.33%,-3.80%,Technology,Information Technology Services
FIZZ,National Beverage Corp.,4623491741,1991-09-06,-8.89%,6.85%,3.97%,1.93%,,-0.95%,3.15%,1,-3.14%,10.64%,-0.19%,8.57%,18.79%,22.84%,27.40%,48.36%,26.46%,36.68%,1.99,1.31,0.19,17.75,4.57%,,24.28%,-5.79%,1.52%,Consumer Staples,Beverages - Non-Alcoholic
BIIB,Biogen Inc.,23406842970,1991-09-16,62.16%,-22.25%,-7.56%,-1.54%,2.14%,-1.82%,-4.70%,25,-4.40%,-21.88%,0.89%,-4.43%,19.84%,26.61%,6.00%,7.02%,12.20%,16.18%,1.26,0.68,2.60,2.74,3.04%,21.65%,-13.79%,80.98%,-3.86%,Healthcare,Drug Manufacturers - General
NHI,"National Health Investors, Inc.",3512945214,1991-10-09,-7.61%,-3.28%,1.20%,12.55%,,-2.79%,1.96%,9,-19.91%,143.84%,-4.75%,-4.02%,55.61%,77.89%,5.10%,7.73%,4.60%,6.12%,,,4.44,,,,-0.71%,2.99%,5.74%,Real Estate,REIT - Healthcare Facilities
TTE,TotalEnergies SE,131906605500,1991-10-24,35.92%,20.04%,2.83%,-0.38%,-0.02%,18.63%,4.91%,4,13.32%,-1.52%,-1.04%,-3.94%,14.96%,22.81%,6.70%,10.89%,4.20%,6.42%,1.10,0.59,1.28,2.27,5.54%,0.45%,3.05%,5.72%,74.00%,Energy,Oil & Gas Integrated
